"training" "version" "op_focus_phonology" "os_focus_phonology" "ba_focus_phonology" "op_focus_semantics" "os_focus_semantics" "ba_focus_semantics" "op_focus_oph" "os_focus_oph" "ba_focus_oph" "op_focus_osh" "os_focus_osh" "ba_focus_osh"
1e+06 28 0.999781123775887 0.999539777973993 0.999869501364585 0.997298899983946 0.998617432974795 0.998933471022636 0.725863936586932 0.754847440199069 0.741964703162626 0.782136697704286 0.786872022796597 0.78039399165195
1e+06 29 0.999744331513887 0.999600272435383 0.999822281104511 0.997509195055386 0.99839362289292 0.998650089420453 0.754398616471344 0.768800914753572 0.768596160378873 0.885483309038369 0.858175856317226 0.859819523840103
1e+06 30 0.999733857441002 0.99940576786001 0.999814924064858 0.996969810402954 0.998130414673302 0.998392920051373 0.758098408733344 0.783107358645047 0.777946667201798 0.88970841242575 0.862203815058597 0.867922799967892
1e+06 31 0.999680964199711 0.999411799165195 0.999799432172098 0.997396348691604 0.99857969674105 0.998853008026971 0.703529752929844 0.742725047680206 0.738064219938995 0.81515512297319 0.809388503612137 0.806235846524322
1e+06 32 0.99971832525285 0.999543263766255 0.999846922138385 0.997232958099213 0.998540309519987 0.998825193610531 0.747733728046235 0.773162608444373 0.764143189757585 0.790061241932895 0.792607357200193 0.791130395569112
1e+06 33 0.999724966447263 0.999552853427516 0.999840634772837 0.99769302456253 0.998663443570396 0.998862195215926 0.721081329266335 0.761331062449831 0.752879115909456 0.865468015251244 0.846508591908814 0.846321844437309
1e+06 34 0.999754727725157 0.999515065981698 0.999853467972387 0.997331935302617 0.998634141756301 0.998885522716327 0.744773384812972 0.761791949269546 0.765978991170332 0.813383930325895 0.802621703804784 0.798848746187189
1e+06 35 0.999681588698025 0.999457803981377 0.999814751163911 0.997241239203725 0.998357972387221 0.998681273559159 0.722471262000321 0.74951406277091 0.760649261358163 0.7842263441965 0.795498541981056 0.821626331995505
1e+06 36 0.999801550168566 0.999683342270027 0.999887960025686 0.997324142398459 0.998665525445497 0.998939105956012 0.766021044148338 0.779362646331674 0.780596589179644 0.784003026167924 0.788125025525767 0.785416151388666
1e+06 41 0.999613572483545 0.999464297479531 0.999798656927276 0.997069705891796 0.998247977363943 0.998614962112699 0.7725146065179 0.785705034194895 0.786966483063092 0.850624144967089 0.836361332156044 0.836241643923583
1e+06 42 0.999715564617114 0.99958970476802 0.999844196981859 0.997188308396211 0.998371690801092 0.998674714079307 0.731544487397656 0.756039077379997 0.757103507144004 0.835243312088618 0.824357573286242 0.825359780382084
1e+06 43 0.999717284475839 0.99959769947022 0.999865079627549 0.997293018301493 0.998626484829025 0.998902614223792 0.745978420452721 0.766918356558035 0.760310435382886 0.800220100497672 0.793717764007064 0.791268023759833
1e+06 44 0.999680499598651 0.999549474393964 0.999858086209664 0.997189478889067 0.998511882966768 0.998770012040456 0.732172758388184 0.762713411141435 0.757028426392679 0.794608026167924 0.797154450634131 0.794970405522556
