item word word_untagged logFreq orthN length consistency AoA phonemeN
297 blinked blink 0.209762 1 7 1 7 6
298 blinks blink 0.07746 3 6 1 14 6
299 blip blip 0.07746 3 4 1 14 4
300 blips blip 0.05 4 5 1 14 5
301 bliss bliss 0.109545 2 5 1 14 4
302 blithe blithe 0.07746 0 6 0.4 14 4
303 blitz blitz 0.05 0 5 1 14 5
304 bloat bloat 0.063246 3 5 1 14 4
305 bloats bloat 0.05 3 6 1 14 5
306 blob blob 0.118322 6 4 1 14 4
307 blobs blob 0.063246 6 5 1 14 5
308 bloc bloc 0.109545 3 4 1 14 4
309 block block 0.809938 4 5 1 3 4
310 blocks block 0.72111 2 6 1 4 5
311 blocs bloc 0.063246 4 5 1 14 5
312 bloke bloke 0.05 1 5 1 14 4
313 blokes bloke 0.05 0 6 1 14 5
314 blond blond 0.209762 4 5 1 8 5
315 blonde blonde 0.134164 0 6 1 12 5
316 blood blood 1 4 5 0.181818 3 4
317 bloods blood 0.063246 3 6 0.222222 14 5
318 bloom bloom 0.354965 3 5 1 7 4
319 bloomed bloom 0.148324 0 7 1 14 5
320 blooms bloom 0.118322 3 6 1 14 5
321 blot blot 0.109545 7 4 1 11 4
322 blotch blotch 0.05 0 6 1 14 5
323 blots blot 0.05 7 5 1 14 5
324 blouse blouse 0.357771 0 6 0.888889 10 4
325 blow blow 0.906642 9 4 0.62963 4 3
326 blows blow 0.497996 6 5 0.684211 5 4
327 blue blue 1 4 4 0.777778 2 3
328 blues blues 0.264575 3 5 0.875 8 4
329 bluff bluff 0.232379 1 5 1 14 4
330 bluffs bluff 0.109545 1 6 1 14 5
331 blunt blunt 0.223607 2 5 1 10 5
332 blur blur 0.148324 1 4 1 11 4
333 blurb blurb 0.05 2 5 1 14 5
334 blurred blur 0.178885 0 7 1 8 5
335 blurs blur 0.05 3 5 1 14 5
336 blurt blurt 0.05 3 5 1 14 5
337 blurts blurt 0.05 0 6 1 14 6
338 blush blush 0.161245 4 5 0.8125 12 4
339 blushed blush 0.154919 2 7 0.857143 14 5
340 boar boar 0.194936 6 4 1 12 3
341 board board 1 3 5 1 3 4
342 boards board 0.513809 1 6 1 5 5
343 boars boar 0.063246 6 5 1 14 4
344 boast boast 0.189737 6 5 1 10 4
